SCHL,gmajor,_FREQ_,radj_wagp,pct,pct_overall,source,target
Bachelors,Arts,10728,54000,0.248084075,0.0098505617,Major: Arts,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Arts,232,31000,0.0059270803,0.0002353439,Major: Arts,Occ: Building and grounds cleaning and maintenance
Bachelors,Arts,2744,54000,0.0638286047,0.0025344134,Major: Arts,Occ: Business and financial operations
Bachelors,Arts,622,41000,0.0140746063,0.000558854,Major: Arts,Occ: Community and social service
Bachelors,Arts,2168,65000,0.0489884376,0.0019451616,Major: Arts,Occ: Computer and mathematical
Bachelors,Arts,496,44000,0.0120428356,0.0004781794,Major: Arts,Occ: Construction and extraction
Bachelors,Arts,3055,43000,0.0694136848,0.0027561776,Major: Arts,"Occ: Education, training, and library"
Bachelors,Arts,1006,28000,0.0291692505,0.0011582102,Major: Arts,Occ: Food preparation and serving related
Bachelors,Arts,850,51000,0.0196339193,0.0007795951,Major: Arts,Occ: Healthcare practitioners and technical
Bachelors,Arts,226,31000,0.0056936854,0.0002260766,Major: Arts,Occ: Healthcare support
Bachelors,Arts,402,43000,0.0100238421,0.0003980121,Major: Arts,"Occ: Installation, maintenance and repair"
Bachelors,Arts,269,50000,0.0063580942,0.000252458,Major: Arts,Occ: Legal
Bachelors,Arts,146,53000,0.0032715745,0.0001299029,Major: Arts,"Occ: Life, physical, and social sciences"
Bachelors,Arts,6420,63000,0.1493209827,0.0059290204,Major: Arts,Occ: Management
Bachelors,Arts,4877,38000,0.1133604946,0.0045011537,Major: Arts,Occ: Office and administrative support
Bachelors,Arts,777,32000,0.0192629577,0.0007648655,Major: Arts,Occ: Personal care and service
Bachelors,Arts,1241,38000,0.0299079794,0.0011875426,Major: Arts,Occ: Production
Bachelors,Arts,439,50000,0.0103737214,0.0004119046,Major: Arts,Occ: Protective service
Bachelors,Arts,4548,47000,0.1087460476,0.0043179299,Major: Arts,Occ: Sales and related
Bachelors,Arts,588,41000,0.0153169656,0.0006081838,Major: Arts,Occ: Transportation and material moving
Bachelors,Biology and life sciences,996,70000,0.0266873755,0.0008402046,Major: Biology and life sciences,Occ: Architecture and engineering
Bachelors,Biology and life sciences,522,54000,0.0145161468,0.0004570151,Major: Biology and life sciences,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Biology and life sciences,249,41000,0.008090518,0.0002547156,Major: Biology and life sciences,Occ: Building and grounds cleaning and maintenance
Bachelors,Biology and life sciences,2581,63000,0.0720529864,0.0022684604,Major: Biology and life sciences,Occ: Business and financial operations
Bachelors,Biology and life sciences,508,42000,0.0143974372,0.0004532777,Major: Biology and life sciences,Occ: Community and social service
Bachelors,Biology and life sciences,1532,77000,0.0419694948,0.001321335,Major: Biology and life sciences,Occ: Computer and mathematical
Bachelors,Biology and life sciences,342,50000,0.0093262262,0.0002936197,Major: Biology and life sciences,Occ: Construction and extraction
Bachelors,Biology and life sciences,2621,40000,0.0701716267,0.0022092291,Major: Biology and life sciences,"Occ: Education, training, and library"
Bachelors,Biology and life sciences,180,41000,0.0041572543,0.0001308838,Major: Biology and life sciences,"Occ: Farming, fisheries, and forestry"
Bachelors,Biology and life sciences,386,28000,0.0128402461,0.0004042524,Major: Biology and life sciences,Occ: Food preparation and serving related
Bachelors,Biology and life sciences,5103,55000,0.1433429545,0.0045128984,Major: Biology and life sciences,Occ: Healthcare practitioners and technical
Bachelors,Biology and life sciences,551,32000,0.0170122719,0.0005356012,Major: Biology and life sciences,Occ: Healthcare support
Bachelors,Biology and life sciences,347,55000,0.0097634643,0.0003073853,Major: Biology and life sciences,"Occ: Installation, maintenance and repair"
Bachelors,Biology and life sciences,167,62000,0.004867632,0.0001532488,Major: Biology and life sciences,Occ: Legal
Bachelors,Biology and life sciences,4591,53000,0.1245234493,0.0039203997,Major: Biology and life sciences,"Occ: Life, physical, and social sciences"
Bachelors,Biology and life sciences,6218,77000,0.1651234862,0.0051986198,Major: Biology and life sciences,Occ: Management
Bachelors,Biology and life sciences,2842,41000,0.0792188047,0.0024940634,Major: Biology and life sciences,Occ: Office and administrative support
Bachelors,Biology and life sciences,646,33000,0.018296592,0.0005760357,Major: Biology and life sciences,Occ: Personal care and service
Bachelors,Biology and life sciences,1229,53000,0.0342619632,0.0010786771,Major: Biology and life sciences,Occ: Production
Bachelors,Biology and life sciences,850,62000,0.0230774747,0.0007265533,Major: Biology and life sciences,Occ: Protective service
Bachelors,Biology and life sciences,3268,66000,0.0926141929,0.0029157934,Major: Biology and life sciences,Occ: Sales and related
Bachelors,Biology and life sciences,446,49000,0.0136884023,0.000430955,Major: Biology and life sciences,Occ: Transportation and material moving
Bachelors,Business,3124,76000,0.0099091456,0.0028143773,Major: Business,Occ: Architecture and engineering
Bachelors,Business,3354,55000,0.0115802048,0.0032889885,Major: Business,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Business,1569,35000,0.0054972875,0.0015613295,Major: Business,Occ: Building and grounds cleaning and maintenance
Bachelors,Business,74851,66000,0.2340303622,0.0664688734,Major: Business,Occ: Business and financial operations
Bachelors,Business,3380,43000,0.0111130049,0.0031562952,Major: Business,Occ: Community and social service
Bachelors,Business,15570,77000,0.0485211216,0.0137808798,Major: Business,Occ: Computer and mathematical
Bachelors,Business,2638,53000,0.0090432196,0.0025684386,Major: Business,Occ: Construction and extraction
Bachelors,Business,7064,46000,0.0221800728,0.0062995435,Major: Business,"Occ: Education, training, and library"
Bachelors,Business,271,36000,0.0007680382,0.0002181368,Major: Business,"Occ: Farming, fisheries, and forestry"
Bachelors,Business,2995,31000,0.0113087507,0.0032118906,Major: Business,Occ: Food preparation and serving related
Bachelors,Business,4497,60000,0.0146796578,0.0041692894,Major: Business,Occ: Healthcare practitioners and technical
Bachelors,Business,1090,33000,0.0039059557,0.0011093623,Major: Business,Occ: Healthcare support
Bachelors,Business,2633,53000,0.0088107956,0.002502426,Major: Business,"Occ: Installation, maintenance and repair"
Bachelors,Business,1984,61000,0.0064884313,0.0018428323,Major: Business,Occ: Legal
Bachelors,Business,1050,64000,0.0032893042,0.0009342221,Major: Business,"Occ: Life, physical, and social sciences"
Bachelors,Business,78491,83000,0.2474037478,0.0702671578,Major: Business,Occ: Management
Bachelors,Business,39264,45000,0.1251491427,0.0355446295,Major: Business,Occ: Office and administrative support
Bachelors,Business,2444,35000,0.0085767342,0.0024359483,Major: Business,Occ: Personal care and service
Bachelors,Business,5045,52000,0.0164011792,0.0046582328,Major: Business,Occ: Production
Bachelors,Business,4719,69000,0.0153588289,0.0043621864,Major: Business,Occ: Protective service
Bachelors,Business,52557,69000,0.171430128,0.0486892699,Major: Business,Occ: Sales and related
Bachelors,Business,4304,49000,0.0145548866,0.0041338521,Major: Business,Occ: Transportation and material moving
